student_id,first_name,last_name,dob,school,game_id,game,genre,tournament_id,city,year,score
S003,Jack,Perera,2010-02-15,Southern Tech School,G006,Fantasy Kingdoms,Strategy,T008,Hamilton,2024,881
S053,Ruby,Perera,2009-10-27,Westlake Academy,G004,Speed Racers X,Racing,T014,Auckland,2026,294
S016,Leo,Roberts,2008-01-26,Westlake Academy,G007,Galaxy Fighters,Fighting,T006,Dunedin,2024,737
S010,Olivia,Singh,2008-07-08,Auckland Central College,G002,Rocket Arena,Sports,T011,Christchurch,2025,59
S019,Ruby,Smith,2010-02-06,Harbour View High,G006,Fantasy Kingdoms,Strategy,T011,Christchurch,2025,460
S023,Grace,Lee,2012-01-20,Westlake Academy,G004,Speed Racers X,Racing,T014,Auckland,2026,112
S004,Liam,Singh,2009-11-28,Harbour View High,G002,Rocket Arena,Sports,T002,Auckland,2026,996
S016,Leo,Roberts,2008-01-26,Westlake Academy,G005,Battle Zone Elite,FPS,T004,Christchurch,2026,178
S036,Amelia,Roberts,2008-06-18,Auckland Central College,G001,Valor Strike,FPS,T013,Wellington,2026,956
S039,Daniel,Smith,2009-06-21,Westlake Academy,G005,Battle Zone Elite,FPS,T015,Dunedin,2025,480
S036,Amelia,Roberts,2008-06-18,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T006,Dunedin,2024,691
S009,Grace,Patel,2012-02-08,Auckland Central College,G007,Galaxy Fighters,Fighting,T015,Dunedin,2025,84
S039,Daniel,Smith,2009-06-21,Westlake Academy,G005,Battle Zone Elite,FPS,T006,Dunedin,2024,370
S045,Olivia,Roberts,2009-09-19,Southern Tech School,G001,Valor Strike,FPS,T013,Wellington,2026,408
S033,Mia,Lee,2011-11-03,Northside Secondary,G001,Valor Strike,FPS,T011,Christchurch,2025,351
S006,Ava,Roberts,2008-12-01,Northside Secondary,G007,Galaxy Fighters,Fighting,T012,Wellington,2026,238
S040,Amelia,Taylor,2009-11-16,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T008,Hamilton,2024,930
S007,Noah,Roberts,2012-05-03,Westlake Academy,G004,Speed Racers X,Racing,T007,Hamilton,2025,700
S044,Ruby,Lee,2012-04-01,Westlake Academy,G002,Rocket Arena,Sports,T004,Christchurch,2026,260
S047,Charlotte,Perera,2010-12-31,Auckland Central College,G006,Fantasy Kingdoms,Strategy,T007,Hamilton,2025,846
S031,Ava,Singh,2008-03-31,Northside Secondary,G005,Battle Zone Elite,FPS,T011,Christchurch,2025,961
S036,Amelia,Roberts,2008-06-18,Auckland Central College,G003,Legends Clash,MOBA,T007,Hamilton,2025,77
S017,Jack,Walker,2010-06-08,Westlake Academy,G001,Valor Strike,FPS,T013,Wellington,2026,985
S058,Leo,Smith,2009-06-25,Westlake Academy,G003,Legends Clash,MOBA,T013,Wellington,2026,247
S024,Charlotte,Smith,2012-05-13,Harbour View High,G003,Legends Clash,MOBA,T002,Auckland,2026,189
S046,Leo,Taylor,2012-05-08,Harbour View High,G002,Rocket Arena,Sports,T005,Dunedin,2024,174
S058,Leo,Smith,2009-06-25,Westlake Academy,G002,Rocket Arena,Sports,T006,Dunedin,2024,108
S059,Sophia,Perera,2008-06-13,Harbour View High,G005,Battle Zone Elite,FPS,T006,Dunedin,2024,183
S017,Jack,Walker,2010-06-08,Westlake Academy,G007,Galaxy Fighters,Fighting,T002,Auckland,2026,685
S017,Jack,Walker,2010-06-08,Westlake Academy,G002,Rocket Arena,Sports,T011,Christchurch,2025,597
S008,Noah,Smith,2010-02-12,Southern Tech School,G006,Fantasy Kingdoms,Strategy,T005,Dunedin,2024,868
S052,Ava,Singh,2012-06-08,Westlake Academy,G005,Battle Zone Elite,FPS,T008,Hamilton,2024,290
S001,Mia,Patel,2008-04-17,Northside Secondary,G002,Rocket Arena,Sports,T014,Auckland,2026,165
S040,Amelia,Taylor,2009-11-16,Auckland Central College,G002,Rocket Arena,Sports,T015,Dunedin,2025,835
S029,Daniel,Singh,2011-01-19,Harbour View High,G007,Galaxy Fighters,Fighting,T014,Auckland,2026,1000
S057,Sophia,Roberts,2009-05-13,Southern Tech School,G006,Fantasy Kingdoms,Strategy,T011,Christchurch,2025,234
S053,Ruby,Perera,2009-10-27,Westlake Academy,G003,Legends Clash,MOBA,T007,Hamilton,2025,50
S027,Ruby,Scott,2010-12-25,Auckland Central College,G004,Speed Racers X,Racing,T004,Christchurch,2026,987
S001,Mia,Patel,2008-04-17,Northside Secondary,G007,Galaxy Fighters,Fighting,T003,Christchurch,2024,872
S055,Isla,Brown,2011-01-22,Westlake Academy,G002,Rocket Arena,Sports,T003,Christchurch,2024,598
S018,Daniel,Perera,2012-09-03,Northside Secondary,G007,Galaxy Fighters,Fighting,T003,Christchurch,2024,846
S057,Sophia,Roberts,2009-05-13,Southern Tech School,G007,Galaxy Fighters,Fighting,T014,Auckland,2026,362
S005,Jack,Taylor,2009-11-21,Harbour View High,G001,Valor Strike,FPS,T002,Auckland,2026,860
S037,Jack,Lee,2012-06-17,Auckland Central College,G007,Galaxy Fighters,Fighting,T005,Dunedin,2024,632
S004,Liam,Singh,2009-11-28,Harbour View High,G004,Speed Racers X,Racing,T015,Dunedin,2025,367
S020,Noah,Roberts,2012-01-26,Northside Secondary,G006,Fantasy Kingdoms,Strategy,T001,Dunedin,2024,731
S010,Olivia,Singh,2008-07-08,Auckland Central College,G005,Battle Zone Elite,FPS,T005,Dunedin,2024,951
S013,Ethan,Taylor,2012-04-23,Westlake Academy,G007,Galaxy Fighters,Fighting,T004,Christchurch,2026,559
S003,Jack,Perera,2010-02-15,Southern Tech School,G007,Galaxy Fighters,Fighting,T002,Auckland,2026,936
S052,Ava,Singh,2012-06-08,Westlake Academy,G003,Legends Clash,MOBA,T003,Christchurch,2024,732
S004,Liam,Singh,2009-11-28,Harbour View High,G004,Speed Racers X,Racing,T015,Dunedin,2025,899
S005,Jack,Taylor,2009-11-21,Harbour View High,G008,Ultimate Football Pro,Sports,T010,Dunedin,2025,244
S026,Isla,Brown,2008-01-27,Northside Secondary,G007,Galaxy Fighters,Fighting,T012,Wellington,2026,597
S024,Charlotte,Smith,2012-05-13,Harbour View High,G002,Rocket Arena,Sports,T014,Auckland,2026,933
S014,Daniel,Brown,2012-06-29,Westlake Academy,G002,Rocket Arena,Sports,T008,Hamilton,2024,93
S035,Isla,Scott,2010-11-11,Auckland Central College,G005,Battle Zone Elite,FPS,T012,Wellington,2026,81
S014,Daniel,Brown,2012-06-29,Westlake Academy,G001,Valor Strike,FPS,T003,Christchurch,2024,925
S042,Olivia,Taylor,2008-05-11,Harbour View High,G002,Rocket Arena,Sports,T012,Wellington,2026,101
S054,Charlotte,Perera,2008-10-08,Auckland Central College,G007,Galaxy Fighters,Fighting,T013,Wellington,2026,798
S057,Sophia,Roberts,2009-05-13,Southern Tech School,G008,Ultimate Football Pro,Sports,T010,Dunedin,2025,443
S022,Jack,Lee,2009-11-21,Auckland Central College,G003,Legends Clash,MOBA,T011,Christchurch,2025,723
S026,Isla,Brown,2008-01-27,Northside Secondary,G007,Galaxy Fighters,Fighting,T011,Christchurch,2025,746
S007,Noah,Roberts,2012-05-03,Westlake Academy,G002,Rocket Arena,Sports,T001,Dunedin,2024,271
S010,Olivia,Singh,2008-07-08,Auckland Central College,G003,Legends Clash,MOBA,T013,Wellington,2026,772
S043,Noah,King,2012-03-03,Auckland Central College,G005,Battle Zone Elite,FPS,T006,Dunedin,2024,572
S027,Ruby,Scott,2010-12-25,Auckland Central College,G005,Battle Zone Elite,FPS,T005,Dunedin,2024,470
S055,Isla,Brown,2011-01-22,Westlake Academy,G003,Legends Clash,MOBA,T009,Christchurch,2026,591
S055,Isla,Brown,2011-01-22,Westlake Academy,G002,Rocket Arena,Sports,T014,Auckland,2026,997
S001,Mia,Patel,2008-04-17,Northside Secondary,G003,Legends Clash,MOBA,T009,Christchurch,2026,827
S039,Daniel,Smith,2009-06-21,Westlake Academy,G002,Rocket Arena,Sports,T008,Hamilton,2024,982
S042,Olivia,Taylor,2008-05-11,Harbour View High,G004,Speed Racers X,Racing,T011,Christchurch,2025,867
S053,Ruby,Perera,2009-10-27,Westlake Academy,G008,Ultimate Football Pro,Sports,T001,Dunedin,2024,430
S019,Ruby,Smith,2010-02-06,Harbour View High,G008,Ultimate Football Pro,Sports,T006,Dunedin,2024,713
S048,Mason,Young,2011-07-13,Westlake Academy,G005,Battle Zone Elite,FPS,T014,Auckland,2026,601
S049,Amelia,Smith,2010-03-02,Harbour View High,G006,Fantasy Kingdoms,Strategy,T004,Christchurch,2026,223
S003,Jack,Perera,2010-02-15,Southern Tech School,G006,Fantasy Kingdoms,Strategy,T001,Dunedin,2024,649
S007,Noah,Roberts,2012-05-03,Westlake Academy,G008,Ultimate Football Pro,Sports,T013,Wellington,2026,431
S049,Amelia,Smith,2010-03-02,Harbour View High,G007,Galaxy Fighters,Fighting,T011,Christchurch,2025,231
S058,Leo,Smith,2009-06-25,Westlake Academy,G002,Rocket Arena,Sports,T011,Christchurch,2025,682
S005,Jack,Taylor,2009-11-21,Harbour View High,G004,Speed Racers X,Racing,T010,Dunedin,2025,442
S009,Grace,Patel,2012-02-08,Auckland Central College,G002,Rocket Arena,Sports,T013,Wellington,2026,549
S060,Ava,Brown,2012-04-01,Southern Tech School,G004,Speed Racers X,Racing,T015,Dunedin,2025,692
S051,Grace,Wilson,2012-11-18,Northside Secondary,G008,Ultimate Football Pro,Sports,T006,Dunedin,2024,372
S039,Daniel,Smith,2009-06-21,Westlake Academy,G007,Galaxy Fighters,Fighting,T013,Wellington,2026,974
S058,Leo,Smith,2009-06-25,Westlake Academy,G005,Battle Zone Elite,FPS,T006,Dunedin,2024,742
S031,Ava,Singh,2008-03-31,Northside Secondary,G003,Legends Clash,MOBA,T004,Christchurch,2026,154
S047,Charlotte,Perera,2010-12-31,Auckland Central College,G001,Valor Strike,FPS,T012,Wellington,2026,578
S046,Leo,Taylor,2012-05-08,Harbour View High,G003,Legends Clash,MOBA,T006,Dunedin,2024,91
S009,Grace,Patel,2012-02-08,Auckland Central College,G003,Legends Clash,MOBA,T013,Wellington,2026,714
S011,Amelia,Fernando,2009-08-20,Northside Secondary,G007,Galaxy Fighters,Fighting,T012,Wellington,2026,878
S012,Daniel,King,2009-06-27,Auckland Central College,G004,Speed Racers X,Racing,T009,Christchurch,2026,719
S012,Daniel,King,2009-06-27,Auckland Central College,G008,Ultimate Football Pro,Sports,T009,Christchurch,2026,734
S001,Mia,Patel,2008-04-17,Northside Secondary,G008,Ultimate Football Pro,Sports,T003,Christchurch,2024,333
S023,Grace,Lee,2012-01-20,Westlake Academy,G008,Ultimate Football Pro,Sports,T004,Christchurch,2026,118
S028,Ethan,Chen,2011-08-01,Harbour View High,G008,Ultimate Football Pro,Sports,T007,Hamilton,2025,376
S004,Liam,Singh,2009-11-28,Harbour View High,G007,Galaxy Fighters,Fighting,T014,Auckland,2026,476
S045,Olivia,Roberts,2009-09-19,Southern Tech School,G002,Rocket Arena,Sports,T006,Dunedin,2024,504
S030,Grace,Lee,2011-01-03,Northside Secondary,G001,Valor Strike,FPS,T002,Auckland,2026,88
S046,Leo,Taylor,2012-05-08,Harbour View High,G006,Fantasy Kingdoms,Strategy,T006,Dunedin,2024,378
S050,Ava,Taylor,2010-07-20,Northside Secondary,G004,Speed Racers X,Racing,T012,Wellington,2026,611
S045,Olivia,Roberts,2009-09-19,Southern Tech School,G008,Ultimate Football Pro,Sports,T012,Wellington,2026,837
S053,Ruby,Perera,2009-10-27,Westlake Academy,G006,Fantasy Kingdoms,Strategy,T011,Christchurch,2025,289
S003,Jack,Perera,2010-02-15,Southern Tech School,G003,Legends Clash,MOBA,T003,Christchurch,2024,719
S029,Daniel,Singh,2011-01-19,Harbour View High,G004,Speed Racers X,Racing,T014,Auckland,2026,743
S054,Charlotte,Perera,2008-10-08,Auckland Central College,G008,Ultimate Football Pro,Sports,T007,Hamilton,2025,704
S054,Charlotte,Perera,2008-10-08,Auckland Central College,G001,Valor Strike,FPS,T006,Dunedin,2024,714
S060,Ava,Brown,2012-04-01,Southern Tech School,G003,Legends Clash,MOBA,T005,Dunedin,2024,415
S035,Isla,Scott,2010-11-11,Auckland Central College,G005,Battle Zone Elite,FPS,T011,Christchurch,2025,123
S023,Grace,Lee,2012-01-20,Westlake Academy,G004,Speed Racers X,Racing,T013,Wellington,2026,98
S008,Noah,Smith,2010-02-12,Southern Tech School,G003,Legends Clash,MOBA,T009,Christchurch,2026,60
S039,Daniel,Smith,2009-06-21,Westlake Academy,G008,Ultimate Football Pro,Sports,T009,Christchurch,2026,480
S026,Isla,Brown,2008-01-27,Northside Secondary,G008,Ultimate Football Pro,Sports,T002,Auckland,2026,867
S013,Ethan,Taylor,2012-04-23,Westlake Academy,G003,Legends Clash,MOBA,T006,Dunedin,2024,284
S022,Jack,Lee,2009-11-21,Auckland Central College,G007,Galaxy Fighters,Fighting,T012,Wellington,2026,550
S008,Noah,Smith,2010-02-12,Southern Tech School,G007,Galaxy Fighters,Fighting,T002,Auckland,2026,417
S033,Mia,Lee,2011-11-03,Northside Secondary,G007,Galaxy Fighters,Fighting,T002,Auckland,2026,250
S017,Jack,Walker,2010-06-08,Westlake Academy,G002,Rocket Arena,Sports,T012,Wellington,2026,173
S024,Charlotte,Smith,2012-05-13,Harbour View High,G003,Legends Clash,MOBA,T004,Christchurch,2026,134
S056,Noah,Wilson,2009-11-27,Westlake Academy,G002,Rocket Arena,Sports,T007,Hamilton,2025,887
S042,Olivia,Taylor,2008-05-11,Harbour View High,G008,Ultimate Football Pro,Sports,T015,Dunedin,2025,797
S028,Ethan,Chen,2011-08-01,Harbour View High,G008,Ultimate Football Pro,Sports,T012,Wellington,2026,91
S027,Ruby,Scott,2010-12-25,Auckland Central College,G001,Valor Strike,FPS,T002,Auckland,2026,356
S033,Mia,Lee,2011-11-03,Northside Secondary,G007,Galaxy Fighters,Fighting,T007,Hamilton,2025,903
S055,Isla,Brown,2011-01-22,Westlake Academy,G006,Fantasy Kingdoms,Strategy,T006,Dunedin,2024,407
S005,Jack,Taylor,2009-11-21,Harbour View High,G006,Fantasy Kingdoms,Strategy,T010,Dunedin,2025,239
S008,Noah,Smith,2010-02-12,Southern Tech School,G001,Valor Strike,FPS,T008,Hamilton,2024,451
S033,Mia,Lee,2011-11-03,Northside Secondary,G006,Fantasy Kingdoms,Strategy,T001,Dunedin,2024,895
S014,Daniel,Brown,2012-06-29,Westlake Academy,G005,Battle Zone Elite,FPS,T006,Dunedin,2024,769
S019,Ruby,Smith,2010-02-06,Harbour View High,G003,Legends Clash,MOBA,T006,Dunedin,2024,669
S031,Ava,Singh,2008-03-31,Northside Secondary,G006,Fantasy Kingdoms,Strategy,T004,Christchurch,2026,597
S049,Amelia,Smith,2010-03-02,Harbour View High,G001,Valor Strike,FPS,T010,Dunedin,2025,532
S054,Charlotte,Perera,2008-10-08,Auckland Central College,G003,Legends Clash,MOBA,T004,Christchurch,2026,388
S016,Leo,Roberts,2008-01-26,Westlake Academy,G008,Ultimate Football Pro,Sports,T009,Christchurch,2026,276
S055,Isla,Brown,2011-01-22,Westlake Academy,G005,Battle Zone Elite,FPS,T015,Dunedin,2025,845
S011,Amelia,Fernando,2009-08-20,Northside Secondary,G004,Speed Racers X,Racing,T008,Hamilton,2024,543
S051,Grace,Wilson,2012-11-18,Northside Secondary,G006,Fantasy Kingdoms,Strategy,T008,Hamilton,2024,691
S029,Daniel,Singh,2011-01-19,Harbour View High,G008,Ultimate Football Pro,Sports,T013,Wellington,2026,981
S018,Daniel,Perera,2012-09-03,Northside Secondary,G007,Galaxy Fighters,Fighting,T012,Wellington,2026,985
S019,Ruby,Smith,2010-02-06,Harbour View High,G002,Rocket Arena,Sports,T011,Christchurch,2025,453
S056,Noah,Wilson,2009-11-27,Westlake Academy,G008,Ultimate Football Pro,Sports,T002,Auckland,2026,978
S056,Noah,Wilson,2009-11-27,Westlake Academy,G006,Fantasy Kingdoms,Strategy,T007,Hamilton,2025,629
S037,Jack,Lee,2012-06-17,Auckland Central College,G003,Legends Clash,MOBA,T004,Christchurch,2026,842
S004,Liam,Singh,2009-11-28,Harbour View High,G003,Legends Clash,MOBA,T012,Wellington,2026,476
S051,Grace,Wilson,2012-11-18,Northside Secondary,G008,Ultimate Football Pro,Sports,T011,Christchurch,2025,674
S018,Daniel,Perera,2012-09-03,Northside Secondary,G004,Speed Racers X,Racing,T013,Wellington,2026,347
S012,Daniel,King,2009-06-27,Auckland Central College,G004,Speed Racers X,Racing,T015,Dunedin,2025,764
S027,Ruby,Scott,2010-12-25,Auckland Central College,G002,Rocket Arena,Sports,T010,Dunedin,2025,444
S036,Amelia,Roberts,2008-06-18,Auckland Central College,G002,Rocket Arena,Sports,T006,Dunedin,2024,526
S045,Olivia,Roberts,2009-09-19,Southern Tech School,G003,Legends Clash,MOBA,T003,Christchurch,2024,402
S045,Olivia,Roberts,2009-09-19,Southern Tech School,G003,Legends Clash,MOBA,T003,Christchurch,2024,867
S020,Noah,Roberts,2012-01-26,Northside Secondary,G007,Galaxy Fighters,Fighting,T003,Christchurch,2024,214
S030,Grace,Lee,2011-01-03,Northside Secondary,G005,Battle Zone Elite,FPS,T010,Dunedin,2025,287
S040,Amelia,Taylor,2009-11-16,Auckland Central College,G004,Speed Racers X,Racing,T005,Dunedin,2024,245
S038,Leo,Smith,2011-01-24,Southern Tech School,G001,Valor Strike,FPS,T013,Wellington,2026,938
S020,Noah,Roberts,2012-01-26,Northside Secondary,G004,Speed Racers X,Racing,T010,Dunedin,2025,508
S002,Emma,King,2009-06-29,Auckland Central College,G003,Legends Clash,MOBA,T003,Christchurch,2024,840
S022,Jack,Lee,2009-11-21,Auckland Central College,G003,Legends Clash,MOBA,T006,Dunedin,2024,90
S007,Noah,Roberts,2012-05-03,Westlake Academy,G004,Speed Racers X,Racing,T001,Dunedin,2024,405
S014,Daniel,Brown,2012-06-29,Westlake Academy,G002,Rocket Arena,Sports,T003,Christchurch,2024,984
S030,Grace,Lee,2011-01-03,Northside Secondary,G007,Galaxy Fighters,Fighting,T003,Christchurch,2024,146
S036,Amelia,Roberts,2008-06-18,Auckland Central College,G001,Valor Strike,FPS,T010,Dunedin,2025,722
S016,Leo,Roberts,2008-01-26,Westlake Academy,G002,Rocket Arena,Sports,T007,Hamilton,2025,962
S010,Olivia,Singh,2008-07-08,Auckland Central College,G004,Speed Racers X,Racing,T011,Christchurch,2025,364
S011,Amelia,Fernando,2009-08-20,Northside Secondary,G008,Ultimate Football Pro,Sports,T013,Wellington,2026,180
S038,Leo,Smith,2011-01-24,Southern Tech School,G006,Fantasy Kingdoms,Strategy,T012,Wellington,2026,459
S002,Emma,King,2009-06-29,Auckland Central College,G008,Ultimate Football Pro,Sports,T005,Dunedin,2024,493
S028,Ethan,Chen,2011-08-01,Harbour View High,G003,Legends Clash,MOBA,T015,Dunedin,2025,633
S010,Olivia,Singh,2008-07-08,Auckland Central College,G004,Speed Racers X,Racing,T004,Christchurch,2026,356
S048,Mason,Young,2011-07-13,Westlake Academy,G008,Ultimate Football Pro,Sports,T009,Christchurch,2026,199
S044,Ruby,Lee,2012-04-01,Westlake Academy,G004,Speed Racers X,Racing,T003,Christchurch,2024,592
S011,Amelia,Fernando,2009-08-20,Northside Secondary,G004,Speed Racers X,Racing,T008,Hamilton,2024,967
S048,Mason,Young,2011-07-13,Westlake Academy,G002,Rocket Arena,Sports,T002,Auckland,2026,359
S041,Mason,Roberts,2011-08-01,Northside Secondary,G003,Legends Clash,MOBA,T012,Wellington,2026,66
S032,Ava,Wilson,2009-01-30,Southern Tech School,G007,Galaxy Fighters,Fighting,T004,Christchurch,2026,615
S041,Mason,Roberts,2011-08-01,Northside Secondary,G004,Speed Racers X,Racing,T013,Wellington,2026,685
S028,Ethan,Chen,2011-08-01,Harbour View High,G002,Rocket Arena,Sports,T013,Wellington,2026,324
S017,Jack,Walker,2010-06-08,Westlake Academy,G005,Battle Zone Elite,FPS,T005,Dunedin,2024,291
S010,Olivia,Singh,2008-07-08,Auckland Central College,G004,Speed Racers X,Racing,T004,Christchurch,2026,59
S043,Noah,King,2012-03-03,Auckland Central College,G002,Rocket Arena,Sports,T007,Hamilton,2025,575
S020,Noah,Roberts,2012-01-26,Northside Secondary,G008,Ultimate Football Pro,Sports,T002,Auckland,2026,239
